,University,Country,uni-country,codes
264,Laval University,Canada,"Laval University, CAN", CAN
265,Medical University of Innsbruck,Austria,"Medical University of Innsbruck, AUT", AUT
266,Simon Fraser University,Canada,"Simon Fraser University, CAN", CAN
267,Florida State University,United States,"Florida State University, USA", USA
268,University of Kiel,Germany,"University of Kiel, DEU", DEU
269,University of Bath,United Kingdom,"University of Bath, GBR", GBR
270,Ruhr University Bochum,Germany,"Ruhr University Bochum, DEU", DEU
271,University of Southern Denmark,Denmark,"University of Southern Denmark, DNK", DNK
272,George Mason University,United States,"George Mason University, USA", USA
273,"Royal Holloway, University of London",United Kingdom,"Royal Holloway, University of London, GBR", University of London
274,Tampere University,Finland,"Tampere University, FIN", FIN
275,Western Sydney University,Australia,"Western Sydney University, AUS", AUS
276,Autonomous University of Madrid,Spain,"Autonomous University of Madrid, ESP", ESP
277,University of Oregon,United States,"University of Oregon, USA", USA
278,La Trobe University,Australia,"La Trobe University, AUS", AUS
279,Technical University of Darmstadt,Germany,"Technical University of Darmstadt, DEU", DEU
280,University of Oulu,Finland,"University of Oulu, FIN", FIN
281,Brighton and Sussex Medical School,United Kingdom,"Brighton and Sussex Medical School, GBR", GBR
282,University of Stuttgart,Germany,"University of Stuttgart, DEU", DEU
283,Syracuse University,United States,"Syracuse University, USA", USA
284,University of Delaware,United States,"University of Delaware, USA", USA
285,Heriot-Watt University,United Kingdom,"Heriot-Watt University, GBR", GBR
286,Stellenbosch University,South Africa,"Stellenbosch University, ZAF", ZAF
287,"National University of Ireland, Galway",Ireland,"National University of Ireland, Galway, IRL", Galway
288,Sun Yat-sen University,China,"Sun Yat-sen University, CHN", CHN
289,Tokyo Institute of Technology,Japan,"Tokyo Institute of Technology, JPN", JPN
290,Anglia Ruskin University,United Kingdom,"Anglia Ruskin University, GBR", GBR
291,Indian Institute of Science,India,"Indian Institute of Science, IND", IND
292,University of New Mexico (Main campus),United States,"University of New Mexico (Main campus), USA", USA
293,Stony Brook University,United States,"Stony Brook University, USA", USA
294,University of Fribourg,Switzerland,"University of Fribourg, CHE", CHE
295,Goethe University Frankfurt,Germany,"Goethe University Frankfurt, DEU", DEU
296,Johannes Gutenberg University of Mainz,Germany,"Johannes Gutenberg University of Mainz, DEU", DEU
297,University of Trento,Italy,"University of Trento, ITA", ITA
298,North Carolina State University,United States,"North Carolina State University, USA", USA
299,University of Newcastle,Australia,"University of Newcastle, AUS", AUS
300,Temple University,United States,"Temple University, USA", USA
301,Huazhong University of Science and Technology,China,"Huazhong University of Science and Technology, CHN", CHN
302,Nova Southeastern University,United States,"Nova Southeastern University, USA", USA
