,University,Country,uni-country,codes
1172,VSB - Technical University of Ostrava,Czech Republic,"VSB - Technical University of Ostrava, CZE", CZE
1173,Al-Azhar University,Egypt,"Al-Azhar University, EGY", EGY
1174,Shiraz University of Medical Sciences,Iran,"Shiraz University of Medical Sciences, IRN", IRN
1175,University of Shizuoka,Japan,"University of Shizuoka, JPN", JPN
1176,Slovak University of Technology in Bratislava,Slovakia,"Slovak University of Technology in Bratislava, SVK", SVK
1177,University of Dhaka,Bangladesh,"University of Dhaka, BGD", BGD
1178,Lodz University of Technology,Poland,"Lodz University of Technology, POL", POL
1179,V.N. Karazin Kharkiv National University,Ukraine,"V.N. Karazin Kharkiv National University, UKR", UKR
1180,Yazd University,Iran,"Yazd University, IRN", IRN
1181,Bahauddin Zakariya University,Pakistan,"Bahauddin Zakariya University, PAK", PAK
1182,Guangxi University,China,"Guangxi University, CHN", CHN
1183,Santa Catarina State University,Brazil,"Santa Catarina State University, BRA", BRA
1184,Shahid Bahonar University of Kerman,Iran,"Shahid Bahonar University of Kerman, IRN", IRN
1185,Technical University of KoïṡẄice,Slovakia,"Technical University of KoïṡẄice, SVK", SVK
1186,Thammasat University,Thailand,"Thammasat University, THA", THA
1187,University of Bucharest,Romania,"University of Bucharest, ROU", ROU
1188,Federal University of ItajubïṡẄ,Brazil,"Federal University of ItajubïṡẄ, BRA", BRA
1189,University of Pardubice,Czech Republic,"University of Pardubice, CZE", CZE
1190,Federal University of Ouro Preto,Brazil,"Federal University of Ouro Preto, BRA", BRA
1191,Mendel University in Brno,Czech Republic,"Mendel University in Brno, CZE", CZE
1192,"University of the North, Colombia",Colombia,"University of the North, Colombia, COL", Colombia
1193,PMAS Arid Agriculture University Rawalpindi,Pakistan,"PMAS Arid Agriculture University Rawalpindi, PAK", PAK
1194,Yeditepe University,Turkey,"Yeditepe University, TUR", TUR
1195,Grigore T. Popa University of Medicine and Pharmacy,Romania,"Grigore T. Popa University of Medicine and Pharmacy, ROU", ROU
1196,Siksha ïṡẄOïṡẄ Anusandhan,India,"Siksha ïṡẄOïṡẄ Anusandhan, IND", IND
1197,Tottori University,Japan,"Tottori University, JPN", JPN
1198,Tamkang University,Taiwan,"Tamkang University, TWN", TWN
1199,University of TarapacïṡẄ,Chile,"University of TarapacïṡẄ, CHL", CHL
1200,Dokuz EylïṡẄl University,Turkey,"Dokuz EylïṡẄl University, TUR", TUR
1201,Shibaura Institute of Technology Tokyo,Japan,"Shibaura Institute of Technology Tokyo, JPN", JPN
1202,State University of Santa Cruz,Brazil,"State University of Santa Cruz, BRA", BRA
1203,Taras Shevchenko National University of Kyiv,Ukraine,"Taras Shevchenko National University of Kyiv, UKR", UKR
1204,Vietnam National University (Ho Chi Minh City),Vietnam,"Vietnam National University (Ho Chi Minh City), VNM", VNM
1205,Federal University of EspïṡẄrito Santo,Brazil,"Federal University of EspïṡẄrito Santo, BRA", BRA
1206,Alzahra University,Iran,"Alzahra University, IRN", IRN
1207,Ankara University,Turkey,"Ankara University, TUR", TUR
1208,Autonomous University of QuerïṡẄtaro,Mexico,"Autonomous University of QuerïṡẄtaro, MEX", MEX
1209,"University of Economics, Prague",Czech Republic,"University of Economics, Prague, CZE", Prague
1210,Yanshan University,China,"Yanshan University, CHN", CHN
1211,Amity University,India,"Amity University, IND", IND
1212,University of Hradec KrïṡẄlovïṡẄ,Czech Republic,"University of Hradec KrïṡẄlovïṡẄ, CZE", CZE
1213,University of Montenegro,Montenegro,"University of Montenegro, MNE", MNE
1214,Federal University of Health Sciences of Porto Alegre (UFCSPA),Brazil,"Federal University of Health Sciences of Porto Alegre (UFCSPA), BRA", BRA
1215,Chubu University,Japan,"Chubu University, JPN", JPN
1216,Gaziantep University,Turkey,"Gaziantep University, TUR", TUR
1217,SRM Institute of Science and Technology,India,"SRM Institute of Science and Technology, IND", IND
1218,Technical University of Liberec,Czech Republic,"Technical University of Liberec, CZE", CZE
1219,Autonomous University of YucatïṡẄn,Mexico,"Autonomous University of YucatïṡẄn, MEX", MEX
1220,University of Guanajuato,Mexico,"University of Guanajuato, MEX", MEX
1221,Iwate University,Japan,"Iwate University, JPN", JPN
1222,Technical University of Cluj-Napoca,Romania,"Technical University of Cluj-Napoca, ROU", ROU
1223,Akita University,Japan,"Akita University, JPN", JPN
1224,Federal University of Santa Maria,Brazil,"Federal University of Santa Maria, BRA", BRA
1225,Gazi University,Turkey,"Gazi University, TUR", TUR
1226,Multimedia University,Malaysia,"Multimedia University, MYS", MYS
1227,Tunghai University,Taiwan,"Tunghai University, TWN", TWN
1228,Yarmouk University,Jordan,"Yarmouk University, JOR", JOR
1229,Ege University,Turkey,"Ege University, TUR", TUR
1230,University of ?ïṡẄd?,Poland,"University of ?ïṡẄd?, POL", POL
1231,SelïṡẄuk University,Turkey,"SelïṡẄuk University, TUR", TUR
1232,Srinakharinwirot University,Thailand,"Srinakharinwirot University, THA", THA
1233,Universiti Malaysia Sarawak (UNIMAS),Malaysia,"Universiti Malaysia Sarawak (UNIMAS), MYS", MYS
1234,Universiti Teknologi MARA,Malaysia,"Universiti Teknologi MARA, MYS", MYS
1235,Naresuan University,Thailand,"Naresuan University, THA", THA
1236,West University of Timi?oara,Romania,"West University of Timi?oara, ROU", ROU
1237,University of Fukui,Japan,"University of Fukui, JPN", JPN
1238,Hashemite University,Jordan,"Hashemite University, JOR", JOR
1239,Kwansei Gakuin University,Japan,"Kwansei Gakuin University, JPN", JPN
1240,Alexandru Ioan Cuza University,Romania,"Alexandru Ioan Cuza University, ROU", ROU
1241,Cochin University of Science and Technology,India,"Cochin University of Science and Technology, IND", IND
1242,Kansai University,Japan,"Kansai University, JPN", JPN
1243,Slovak University of Agriculture in Nitra,Slovakia,"Slovak University of Agriculture in Nitra, SVK", SVK
1244,PSG College of Technology,India,"PSG College of Technology, IND", IND
1245,Shahed University,Iran,"Shahed University, IRN", IRN
1246,University of Biskra,Algeria,"University of Biskra, DZA", DZA
1247,University of Colombo,Sri Lanka,"University of Colombo, LKA", LKA
1248,Polytechnic University of Bucharest,Romania,"Polytechnic University of Bucharest, ROU", ROU
1249,University of Hyogo,Japan,"University of Hyogo, JPN", JPN
1250,Silpakorn University,Thailand,"Silpakorn University, THA", THA
1251,Autonomous University of San Luis Potosi,Mexico,"Autonomous University of San Luis Potosi, MEX", MEX
1252,University of Constantine 1,Algeria,"University of Constantine 1, DZA", DZA
1253,Federal University of ParïṡẄ,Brazil,"Federal University of ParïṡẄ, BRA", BRA
1254,GITAM University,India,"GITAM University, IND", IND
1255,Latvia University of Life Sciences and Technologies,Latvia,"Latvia University of Life Sciences and Technologies, LVA", LVA
1256,Polytechnic University of Timi?oara,Romania,"Polytechnic University of Timi?oara, ROU", ROU
1257,Maharaja Sayajirao University of Baroda,India,"Maharaja Sayajirao University of Baroda, IND", IND
1258,Mahasarakham University,Thailand,"Mahasarakham University, THA", THA
1259,Meiji University,Japan,"Meiji University, JPN", JPN
1260,Meijo University,Japan,"Meijo University, JPN", JPN
1261,University of South China,China,"University of South China, CHN", CHN
1262,"University of the Andes, Venezuela",Venezuela,"University of the Andes, Venezuela, VEN", Venezuela
1263,Ac?badem University,Turkey,"Ac?badem University, TUR", TUR
1264,National Polytechnic University (IPN),Mexico,"National Polytechnic University (IPN), MEX", MEX
1265,Pontifical Bolivarian University (UPB) ïṡẄ MedellïṡẄn,Colombia,"Pontifical Bolivarian University (UPB) ïṡẄ MedellïṡẄn, COL", COL
1266,"University of Veterinary and Animal Sciences, Lahore",Pakistan,"University of Veterinary and Animal Sciences, Lahore, PAK", Lahore
1267,Ivan Franko National University of Lviv,Ukraine,"Ivan Franko National University of Lviv, UKR", UKR
1268,Ming Chuan University,Taiwan,"Ming Chuan University, TWN", TWN
1269,National Chin-Yi University of Technology,Taiwan,"National Chin-Yi University of Technology, TWN", TWN
1270,University of Science and Technology of Oran Mohamed-Boudiaf,Algeria,"University of Science and Technology of Oran Mohamed-Boudiaf, DZA", DZA
1271,State University of MaringïṡẄ,Brazil,"State University of MaringïṡẄ, BRA", BRA
1272,Tokat Gaziosmanpa?a University,Turkey,"Tokat Gaziosmanpa?a University, TUR", TUR
1273,Akdeniz University,Turkey,"Akdeniz University, TUR", TUR
1274,Autonomous University of Puebla,Mexico,"Autonomous University of Puebla, MEX", MEX
1275,MichoacïṡẄn University of San NicolïṡẄs of Hidalgo,Mexico,"MichoacïṡẄn University of San NicolïṡẄs of Hidalgo, MEX", MEX
1276,National University of Kaohsiung,Taiwan,"National University of Kaohsiung, TWN", TWN
1277,Autonomous University of Sinaloa,Mexico,"Autonomous University of Sinaloa, MEX", MEX
1278,National Chiayi University,Taiwan,"National Chiayi University, TWN", TWN
1279,University of BïṡẄo-BïṡẄo,Chile,"University of BïṡẄo-BïṡẄo, CHL", CHL
1280,Kanagawa University,Japan,"Kanagawa University, JPN", JPN
1281,Kaunas University of Technology,Lithuania,"Kaunas University of Technology, LTU", LTU
1282,Sathyabama Institute of Science and Technology,India,"Sathyabama Institute of Science and Technology, IND", IND
1283,Ba?kent University,Turkey,"Ba?kent University, TUR", TUR
1284,Kogakuin University,Japan,"Kogakuin University, JPN", JPN
1285,Tokyo University of Agriculture,Japan,"Tokyo University of Agriculture, JPN", JPN
1286,Federal University of Alagoas,Brazil,"Federal University of Alagoas, BRA", BRA
1287,Ibaraki University,Japan,"Ibaraki University, JPN", JPN
1288,King Mongkut's University of Technology North Bangkok,Thailand,"King Mongkut's University of Technology North Bangkok, THA", THA
1289,University of Sciences and Technology Houari Boumediene,Algeria,"University of Sciences and Technology Houari Boumediene, DZA", DZA
1290,Federal Rural University of the Semi-Arid Region,Brazil,"Federal Rural University of the Semi-Arid Region, BRA", BRA
1291,University of Sargodha,Pakistan,"University of Sargodha, PAK", PAK
1292,Doshisha University,Japan,"Doshisha University, JPN", JPN
1293,University of Guadalajara,Mexico,"University of Guadalajara, MEX", MEX
1294,Ivane Javakhishvili Tbilisi State University,Georgia,"Ivane Javakhishvili Tbilisi State University, GEO", GEO
1295,Utsunomiya University,Japan,"Utsunomiya University, JPN", JPN
1296,Autonomous University of Nuevo LeïṡẄn,Mexico,"Autonomous University of Nuevo LeïṡẄn, MEX", MEX
1297,Chaoyang University of Technology,Taiwan,"Chaoyang University of Technology, TWN", TWN
1298,National Technical University Kharkiv Polytechnic Institute,Ukraine,"National Technical University Kharkiv Polytechnic Institute, UKR", UKR
1299,Tamil Nadu Agricultural University,India,"Tamil Nadu Agricultural University, IND", IND
1300,Tokyo City University,Japan,"Tokyo City University, JPN", JPN
1301,M'Hamed Bougara University of BoumerdïṡẄs,Algeria,"M'Hamed Bougara University of BoumerdïṡẄs, DZA", DZA
1302,University of Brawijaya,Indonesia,"University of Brawijaya, IDN", IDN
1303,Federal University of Technology ïṡẄ ParanïṡẄ,Brazil,"Federal University of Technology ïṡẄ ParanïṡẄ, BRA", BRA
1304,National University of the South,Argentina,"National University of the South, ARG", ARG
1305,Toyo University,Japan,"Toyo University, JPN", JPN
1306,Autonomous University of Baja California,Mexico,"Autonomous University of Baja California, MEX", MEX
1307,Istanbul Medipol University,Turkey,"Istanbul Medipol University, TUR", TUR
1308,Government College University Lahore,Pakistan,"Government College University Lahore, PAK", PAK
1309,University of Sonora,Mexico,"University of Sonora, MEX", MEX
1310,Western ParanïṡẄ State University (Unioeste),Brazil,"Western ParanïṡẄ State University (Unioeste), BRA", BRA
1311,Autonomous University of Hidalgo State (UAEH),Mexico,"Autonomous University of Hidalgo State (UAEH), MEX", MEX
1312,Autonomous University of the State of Mexico,Mexico,"Autonomous University of the State of Mexico, MEX", MEX
1313,University of Birjand,Iran,"University of Birjand, IRN", IRN
1314,Ondokuz Mayis University,Turkey,"Ondokuz Mayis University, TUR", TUR
1315,Federal University of Mato Grosso do Sul,Brazil,"Federal University of Mato Grosso do Sul, BRA", BRA
1316,SïṡẄleyman Demirel University,Turkey,"SïṡẄleyman Demirel University, TUR", TUR
1317,Chiba Institute of Technology,Japan,"Chiba Institute of Technology, JPN", JPN
1318,CearïṡẄ State University,Brazil,"CearïṡẄ State University, BRA", BRA
1319,Pontifical Catholic University of Minas Gerais,Brazil,"Pontifical Catholic University of Minas Gerais, BRA", BRA
1320,University of Caxias do Sul,Brazil,"University of Caxias do Sul, BRA", BRA
1321,Tokyo Denki University,Japan,"Tokyo Denki University, JPN", JPN
